,weight
"WH,X,X,WK,X,X,X,BKB,X,X,X,X,WP,X,X,WR,X,X,X,X,BP,X,WP,WH,X,X,X,BP,X,X,X,X,WP,X,BP,X,X,X,BH,BP,BP,BR,X,X,X,X,X,X,X,BH,X,BK,WKB,X,X,WQB,X,X,X,X,X,X,X,X",-0.059070487856049174
"WH,X,X,WK,X,X,X,X,X,X,X,X,WP,X,X,WR,X,X,X,X,BP,X,WP,WH,X,X,X,BP,X,X,X,X,WP,X,BP,X,X,X,BH,BP,BP,BR,BKB,X,X,X,X,X,X,BH,X,BK,WKB,X,X,WQB,X,X,X,X,X,X,X,X",-0.05370044350549925
"WH,X,X,WK,X,X,X,X,X,X,X,X,WP,X,X,WR,X,X,X,X,BP,X,WP,WH,X,X,X,BP,WQB,X,X,X,WP,X,BP,X,X,X,BH,BP,BP,BR,BKB,X,X,X,X,X,X,BH,X,BK,WKB,X,X,X,X,X,X,X,X,X,X,X",-0.04881858500499931
"WH,X,X,WK,X,X,X,X,X,X,X,X,WP,X,X,WR,X,X,X,X,BP,X,WP,WH,X,X,X,BP,WQB,X,X,X,WP,X,BP,X,X,X,WP,BP,BP,BR,BKB,X,BH,X,X,X,X,BH,X,BK,WKB,X,X,X,X,X,X,X,X,X,X,X",-0.044380531822726645
"WH,X,X,WK,X,X,X,X,X,X,X,X,WP,X,X,WR,X,X,X,X,BP,X,WP,WH,X,X,X,BP,WQB,X,X,X,WP,X,BP,X,X,X,WP,BP,BP,BR,BKB,X,BH,WKB,X,X,X,BH,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",-0.04034593802066058
"WH,X,X,WK,X,X,X,X,X,X,X,X,WP,X,X,WR,X,X,X,X,BP,X,WP,WH,X,X,X,BP,WQB,X,X,X,WP,X,BP,X,X,X,WP,BP,BP,BR,BKB,BH,BH,WKB,X,X,X,X,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",-0.0366781254733278
"WH,X,X,WK,X,X,WH,X,X,X,X,X,WP,X,X,WR,X,X,X,X,BP,X,WP,X,X,X,X,BP,WQB,X,X,X,WP,X,BP,X,X,X,WP,BP,BP,BR,BKB,BH,BH,WKB,X,X,X,X,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",-0.033343750430298
"WH,X,X,WK,X,X,WH,X,X,X,X,X,WP,X,X,WR,X,X,X,X,BP,X,WP,X,X,X,X,BP,WQB,X,X,X,WP,X,BP,X,X,X,WP,BP,BP,X,BKB,BH,BH,WKB,X,X,X,BR,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",-0.030312500391179994
"WH,X,X,WK,X,X,WH,X,X,X,X,X,WP,X,X,WR,X,X,X,WQB,BP,X,WP,X,X,X,X,BP,X,X,X,X,WP,X,BP,X,X,X,WP,BP,BP,X,BKB,BH,BH,WKB,X,X,X,BR,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",-0.027556818537436356
"WH,X,X,WK,X,X,WH,X,X,X,X,X,WP,X,X,WR,X,X,X,WQB,BP,X,WP,X,X,X,X,X,X,X,X,X,WP,X,BP,BP,X,X,WP,BP,BP,X,BKB,BH,BH,WKB,X,X,X,BR,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",-0.02505165321585123
"WH,X,X,WK,X,X,WH,X,X,X,X,X,WP,X,X,WR,X,X,X,X,BP,X,WP,X,X,X,X,X,X,X,X,X,WP,X,BP,BP,X,X,WP,BP,BP,X,BKB,BH,BH,WKB,X,X,X,BR,X,BK,X,X,X,WQB,X,X,X,X,X,X,X,X",-0.022774230196228387
